Date,MKT,SMB,HML,MOM,RF
20160616,0.24,-0.34,-0.4,0.49,0.001
20160617,-0.3,-0.1,0.94,-1,0.001
20160620,0.71,0.61,-0.01,-0.32,0.001
20160621,0.21,-0.62,0.5,0.55,0.001
20160622,-0.2,-0.31,0.08,0.12,0.001
20160623,1.45,0.5,0.43,-1.09,0.001
20160624,-3.7,0.15,-1.13,2.02,0.001
20160627,-2.07,-0.95,-0.67,2.82,0.001
20160628,1.76,-0.39,0.14,-1.52,0.001
20160629,1.8,0.27,-0.07,-0.67,0.001
20160630,1.42,0.35,0.45,0.69,0.001
20160701,0.24,0.54,-0.41,-1.03,0.001
20160705,-0.85,-0.63,-1.36,1.88,0.001
20160706,0.62,0.17,-0.13,-0.43,0.001
20160707,0.02,0.35,-0.2,-0.54,0.001
20160708,1.6,0.89,0.35,-0.62,0.001
20160711,0.43,0.6,0.25,-0.13,0.001
20160712,0.75,0.63,1,-1.52,0.001
20160713,-0.05,-0.53,0.51,0.87,0.001
20160714,0.51,-0.46,0.45,-0.6,0.001
20160715,-0.05,0.3,0.01,-0.11,0.001
20160718,0.25,-0.02,-0.12,-0.69,0.001
20160719,-0.22,-0.63,0.05,0.65,0.001
20160720,0.48,0.45,-0.87,-0.8,0.001
20160721,-0.38,-0.05,-0.01,-0.33,0.001
20160722,0.48,0.23,-0.08,0.32,0.001
20160725,-0.27,-0.03,-0.24,-0.08,0.001
20160726,0.13,0.58,0.54,-0.25,0.001
20160727,-0.14,0.58,-0.42,-0.92,0.001
20160728,0.18,-0.41,-0.34,0.23,0.001
20160729,0.17,-0.02,0.04,0.14,0.001
20160801,-0.16,0.17,-0.87,-0.05,0.001
20160802,-0.7,-0.58,0.17,0.45,0.001
20160803,0.45,0.47,0.83,-1.64,0.001
20160804,0.05,0.09,-0.33,0.58,0.001
20160805,0.93,0.43,0.87,-1.27,0.001
20160808,-0.06,0.02,0.57,-0.45,0.001
20160809,0.05,-0.02,-0.31,0.45,0.001
20160810,-0.29,-0.45,-0.13,0.83,0.001
20160811,0.54,0.15,0.04,-0.71,0.001
20160812,-0.06,0.08,-0.18,-0.25,0.001
20160815,0.39,0.73,0.39,-1.06,0.001
20160816,-0.57,-0.26,0.61,-0.35,0.001
20160817,0.12,-0.55,0.25,0.4,0.001
20160818,0.32,0.46,0.37,0.04,0.001
20160819,-0.11,0.12,-0.12,-0.22,0.001
20160822,-0.02,0.25,-0.41,0.17,0.001
20160823,0.27,0.56,-0.01,-0.4,0.001
20160824,-0.56,-0.48,0.4,0.48,0.001
20160825,-0.08,0.2,0.48,0.45,0.001
20160826,-0.15,0.15,-0.13,-0.45,0.001
20160829,0.53,-0.07,0.35,-0.09,0.001
20160830,-0.14,0.1,0.31,-0.42,0.001
20160831,-0.24,-0.38,0.13,0.24,0.001
20160901,0.03,0.12,-0.49,0.62,0.001
20160902,0.53,0.39,0.36,0.03,0.001
20160906,0.26,0.06,-0.53,-0.16,0.001
20160907,0.09,0.62,0.03,-0.65,0.001
20160908,-0.18,-0.02,0.57,-0.68,0.001
20160909,-2.47,-0.56,0.31,-0.17,0.001
20160912,1.44,-0.01,-0.47,-0.25,0.001
20160913,-1.48,-0.25,-0.47,0.18,0.001
20160914,-0.08,0.11,-0.83,0.35,0.001
20160915,1.07,0.31,-0.33,0.1,0.001
20160916,-0.36,0.33,-0.45,0.1,0.001
20160919,0.05,0.39,0.17,0.05,0.001
20160920,-0.02,-0.21,-0.51,0.02,0.001
20160921,1.12,0.14,0.33,0.58,0.001
20160922,0.7,0.85,-0.06,-0.21,0.001
20160923,-0.6,-0.11,-0.19,-0.34,0.001
20160926,-0.88,-0.22,-0.35,0.45,0.001
