Date,Volume,Close,Average
09/12/16,12173900,104.860001,104.3499985
12/12/16,7880200,104.059998,104.215
13/12/16,7393200,103.849998,104.0099985
14/12/16,7961900,104.050003,103.955002
15/12/16,8745400,104.389999,104.7299995
16/12/16,12635500,103.910004,104.2400015
19/12/16,11475600,105.300003,105.665001
20/12/16,8947300,105.459999,105.6299975
21/12/16,5202400,105.559998,105.210003
22/12/16,5230800,105.419998,105.0949975
23/12/16,3238800,105.150002,105.044998
27/12/16,3639500,105.169998,105.1699985
28/12/16,5178600,104.300003,104.689999
29/12/16,5896800,104.559998,104.32
30/12/16,6983300,104.220001,104.4799995
03/01/17,8884300,106.080002,106.0550005
04/01/17,8322000,107.440002,106.875
05/01/17,6303000,107.379997,107.205002
06/01/17,9551300,108.980003,108.549999
09/01/17,6195200,108.360001,108.4700015
10/01/17,7901900,108.379997,108.084999
11/01/17,7616800,109.440002,108.9349975
12/01/17,8218900,107.529999,108.215
13/01/17,6489000,108.059998,107.625
17/01/17,7586500,107.970001,108.290001
18/01/17,7162900,108.160004,107.605
19/01/17,5350200,107.279999,107.545002
20/01/17,5649000,107.660004,107.5
23/01/17,5716600,107.120003,107.125
24/01/17,5456100,107.900002,107.57
25/01/17,6180200,108.040001,108.209999
26/01/17,6088100,108.059998,108.300003
27/01/17,5578300,109.300003,108.775002
30/01/17,13793600,110.940002,110.005001
31/01/17,8485800,110.650002,110.390003
01/02/17,10501300,111.300003,111.334999
02/02/17,6515900,110.610001,111.045002
03/02/17,7923400,110.300003,110.6800005
06/02/17,6896300,109.57,109.7250025
07/02/17,10184800,109,109.25
08/02/17,13615500,109,110.2000005
09/02/17,6369700,109.489998,109.424999
10/02/17,7671800,109.260002,109.1900025
13/02/17,5653200,109.650002,109.400002
14/02/17,4768700,110.330002,109.9300005
15/02/17,7087100,110.18,110.2400015
16/02/17,7179600,110.709999,110.4799995
17/02/17,6349200,110.059998,110.0099985
21/02/17,5432700,110.010002,110.005001
22/02/17,5478400,110.120003,109.904999
23/02/17,5470400,109.730003,110.039997
24/02/17,4786800,110.32,109.709999
27/02/17,3547700,110.230003,110.1500015
28/02/17,4766000,110.089996,110.115002
01/03/17,7418100,111.040001,111.2300035
02/03/17,4715600,110.589996,110.829998
03/03/17,5837900,111.239998,110.7700005
06/03/17,4983200,110.669998,110.5349995
07/03/17,5114400,110.860001,110.545002
08/03/17,4929900,110.839996,110.990002
09/03/17,4005700,111.029999,111.005001
10/03/17,4027400,110.919998,111.095001
13/03/17,5213600,111.519997,111.25
14/03/17,7273500,112.309998,112.305
15/03/17,5319500,111.870003,111.7999995
16/03/17,4409400,111.709999,111.860001
17/03/17,9061200,111.760002,111.634998
20/03/17,8156300,112.709999,112.6050035
21/03/17,7109800,111.75,112.3199995
22/03/17,5044700,112.080002,111.764999
23/03/17,8307900,112.239998,112.3200035
24/03/17,4707300,112.139999,112.130001
27/03/17,4469800,112.379997,112
28/03/17,6280900,113.050003,112.6299975
29/03/17,3781200,112.529999,112.625
30/03/17,4192800,113.18,112.790001
31/03/17,4617400,113.389999,113.329998
03/04/17,4643300,113.199997,113.040001
04/04/17,3386100,113.040001,113.1900025
05/04/17,4795100,113,113.3149985
06/04/17,4744000,113.050003,112.9049985
07/04/17,4300700,112.580002,112.904999
10/04/17,4053600,112.43,112.465
11/04/17,5230800,113.07,113.209999
12/04/17,4086300,113.040001,113.0200005
13/04/17,6530800,113.199997,113.619999
17/04/17,5120200,113.779999,113.5800015
18/04/17,6191100,114.190002,113.875
19/04/17,5303400,113.730003,114.2700005
20/04/17,5279300,114.790001,114.460003
21/04/17,6654500,114.440002,114.695
24/04/17,7294600,113.699997,114.5200005
25/04/17,6918300,115.18,114.5999985
26/04/17,4809800,115.580002,115.41
27/04/17,3910800,115.839996,115.7449985
28/04/17,3987600,115.599998,115.57
01/05/17,4963300,114.730003,115.165001
02/05/17,6604600,114.370003,114.334999
03/05/17,11521200,111.620003,112.634998
04/05/17,10691200,111.169998,110.1800005
05/05/17,5871400,111.989998,111.535
08/05/17,5980100,111.419998,111.6949995
09/05/17,9337400,112.07,111.25
10/05/17,17061100,109.660004,108.8950005
11/05/17,8021300,109.580002,109.255001
12/05/17,5067700,109.690002,109.579998
15/05/17,6241300,109.129997,109.6000025
16/05/17,10047100,107.980003,108.5250015
17/05/17,12763200,106.309998,106.605003
18/05/17,6532200,106.68,106.6450005
19/05/17,6336700,107.519997,107.279999
22/05/17,5487200,107.629997,107.8050005
23/05/17,7542600,107.019997,107.3550035
24/05/17,4366700,107.709999,107.380001
25/05/17,8030400,107.269997,107.454998
26/05/17,6236800,108.410004,107.9850005
30/05/17,4813400,108.339996,108.2749975
31/05/17,9963600,107.940002,108.1450005
